Batter,REA,RES,PA,OPS,OBP,SLG,AVG,RBI,HR
tramt001,17.935698441735685,-20.766667499964004,117,.686,.284,.402,.196,10,4
ralec001,74.9169697445306,-70.04657366394373,415,.773,.284,.489,.211,63,27
uptoj001,6.885131724868042,-13.028548746202746,57,.471,.263,.208,.125,3,1
fraza001,80.94015522895775,-107.00551796974217,602,.612,.301,.311,.238,42,3
moord002,46.361371903997,-47.36662476889108,255,.753,.368,.385,.224,24,6
padlk001,4.037258814672594,-11.265280022076178,34,.299,.147,.152,.121,3,0
torrl001,22.071416375322066,-29.908302288657552,166,.581,.283,.298,.225,15,3
ellid002,2.2570235777836567,-2.903146640507891,17,.485,.235,.250,.188,1,0
toroa001,45.605542003901306,-61.26674334778054,352,.563,.239,.324,.185,35,10
harrm003,4.6984992882991925,-3.796612410099221,14,.812,.357,.455,.182,3,1
andet001,64.69783573816694,-71.26518005068623,351,.734,.339,.395,.301,25,6
vauga001,108.90965719823151,-100.11906449071014,555,.750,.321,.429,.271,76,17
robel002,86.31665958189939,-83.72891748865716,401,.745,.319,.426,.284,56,12
abrej003,135.22888159182332,-127.67734697282708,679,.824,.378,.446,.304,75,15
polla001,93.41389934353452,-110.82566196914009,527,.681,.292,.389,.245,56,14
sheeg001,77.87773104348899,-79.83229600354218,410,.706,.295,.411,.241,53,15
zavas001,37.843676785213255,-39.35684632609767,205,.729,.347,.382,.270,21,2
harrj002,67.61095452199577,-90.63943148441457,425,.687,.317,.370,.256,27,7
sosal001,2.6747496982784438,-11.083592901027982,36,.368,.139,.229,.114,1,1
garcl004,38.098268553236394,-63.997389636212006,315,.500,.233,.267,.210,20,3
moncy001,73.87865177206368,-88.53116246108247,433,.626,.273,.353,.212,51,12
thaim001,13.005422917372218,-13.567966917415392,81,.640,.321,.319,.217,8,2
mcgur002,44.916547067935795,-56.40293855416424,274,.676,.307,.369,.269,22,3
stefm001,6.008332557143678,-15.164477957422344,69,.509,.279,.230,.197,0,0
matij001,9.66644724659419,-14.979497838349651,71,.582,.254,.328,.209,5,2
meyej002,24.13539748895046,-28.01421373814929,160,.582,.269,.313,.227,15,1
villj001,33.268882892767635,-40.62023127915056,220,.562,.260,.302,.208,18,3
lee-k002,4.228604096502225,-5.597261738494354,26,.432,.192,.240,.160,4,0
dubom001,38.27384807283395,-53.27989465132762,265,.565,.252,.313,.214,24,5
bettm001,144.56170937471427,-120.26007701361314,639,.873,.340,.533,.269,82,35
turnt001,149.57392406891708,-140.96569569816023,708,.809,.343,.466,.298,100,21
freef001,166.22975277798204,-117.15118850408076,708,.918,.407,.511,.325,100,21
smitw003,119.09855173278427,-112.99308155454753,578,.808,.343,.465,.260,87,24
turnj001,112.38434623958892,-99.89709743565594,532,.788,.350,.438,.278,81,13
albeh001,24.781130611458195,-37.311881480598274,159,.623,.258,.365,.244,15,2
thomt002,57.88954396444339,-52.564073768556995,255,.860,.353,.507,.256,41,13
barna001,35.87151347507485,-44.03871892079458,212,.704,.324,.380,.212,26,8
